# PACE2_2009.DATA
#
# This is the same as pace2_2001.data except the format is much simpler to read :)
# Each line is:
#  Z   A    MassExcess (keV)
#
69     174     -53862.2
69     175     -52303.5
69     176     -49602.7
70     152     -46037.8
70     153     -47010.5
70     154     -50088.1
70     155     -50497.3
70     156     -53201.4
70     157     -53563.6
70     158     -56025.8
70     159     -55998.1
70     160     -58062.3
70     161     -57707.5
70     162     -59745.4
70     163     -59368.3
70     164     -60889.2
70     165     -60174.6
70     166     -61594.7
70     167     -60594.8
70     168     -61577.5
70     169     -60373.4
70     170     -60771.1
70     171     -59314.3
70     172     -59262.8
70     173     -57558.8
70     174     -56952.2
70     175     -54703.5
70     176     -53502.7
70     177     -50998.1
70     178     -49705.8
71     153     -37863.8
71     154     -39415.8
71     155     -42335.4
71     156     -43492.3
71     157     -46312
71     158     -47190.9
71     159     -49731.8
71     160     -50242.3
71     161     -52507.5
71     162     -52655.4
71     163     -54738.3
71     164     -54589.2
71     165     -56374.6
71     166     -56114.7
71     167     -57464.8
71     168     -57107.5
71     169     -58080.4
71     170     -57331.1
71     171     -57833.5
71     172     -56738.9
71     173     -56883.6
71     174     -55574
71     175     -55171.6
71     176     -53393.2
71     177     -52394.5
71     178     -50334.3
71     179     -49124.6
71     180     -46691.4
72     154     -32788.1
72     155     -33897.3
72     156     -37580
72     157     -38700.4
72     158     -42258.2
72     159     -42846.7
72     160     -45876.8
72     161     -46421.3
72     162     -49183.7
72     163     -49289.7
72     164     -51689.2
72     165     -51656.3
72     166     -53694.7
72     167     -53364.8
72     168     -55107.5
