# AUDI_WAPSTRA_2003.DATA
#
# 
# Each line is:
#  Z   A    MassExcess (keV)
#
37 96 -61224.6
37 97 -58356.3
37 98 -54221.6
37 99 -50878.9
37 100 -46696
37 101 -43597.2
37 102 -38312
38 73 -31699
38 74 -40697
38 75 -46621.7
38 76 -54243.9
38 77 -57804.1
38 78 -63173.9
38 79 -65476.6
38 80 -70308.2
38 81 -71527.7
38 82 -76008.4
38 83 -76795.4
38 84 -80643.8
38 85 -81102.6
38 86 -84523.6
38 87 -84880.4
38 88 -87921.7
38 89 -86209.1
38 90 -85941.6
38 91 -83645.3
38 92 -82867.7
38 93 -80084.6
38 94 -78840.4
38 95 -75116.8
38 96 -72939
38 97 -68788.1
38 98 -66645.7
38 99 -62185.7
38 100 -60219.3
38 101 -55407.2
38 102 -53077.5
38 103 -47553
38 104 -44404
38 105 -38582
39 76 -38704
39 77 -46905
39 78 -52527
39 79 -58356.6
39 80 -61217.8
39 81 -66017.3
39 82 -68192.4
39 83 -72326.6
39 84 -74157.9
39 85 -77842.1
39 86 -79283.6
39 87 -83018.7
39 88 -84299.1
39 89 -87701.7
39 90 -86487.5
39 91 -86345
39 92 -84813.3
39 93 -84223.2
39 94 -82348.5
39 95 -81207.1
39 96 -78346.7
39 97 -76257.7
39 98 -72467.4
39 99 -70200.9
39 100 -67294.3
39 101 -64912.2
39 102 -61892.5
39 103 -58936
39 104 -54912
39 105 -51353
39 106 -46770
39 107 -42718
39 108 -37744
40 78 -41703
40 79 -47357
40 80 -55517
40 81 -58488.5
40 82 -64192
40 83 -66458.6
40 84 -71492
40 85 -73149.1
40 86 -77804.4
40 87 -79348.1
40 88 -83623.1
40 89 -84868.9
40 90 -88767.3
40 91 -87890.4
40 92 -88453.9
40 93 -87117
40 94 -87266.8
40 95 -85657.8
40 96 -85442.8
40 97 -82946.6
40 98 -81286.9
40 99 -77768.5
40 100 -76604.3
40 101 -73457.2
40 102 -71742.5
40 103 -68372
40 104 -66341
40 105 -62364
40 106 -59699
40 107 -55191
40 108 -52201
40 109 -47283
40 110 -43901
41 81 -47478
41 82 -52974
41 83 -58958.6
41 84 -61879
41 85 -67149.1
41 86 -69826.4
41 87 -74183.1
41 88 -76073.1
41 89 -80650.4
41 90 -82656.3
41 91 -86632.4
41 92 -86448.3
41 93 -87208.3
41 94 -86364.5
41 95 -86781.9
41 96 -85603.7
41 97 -85605.6
41 98 -83528.5
41 99 -82327
41 100 -79939.3
41 101 -78942.2
41 102 -76347.5
41 103 -75317
41 104 -72223.7
41 105 -70852.7
41 106 -67096
41 107 -64916
41 108 -60696
41 109 -58097
41 110 -53617
41 111 -50627
41 112 -45802
41 113 -42197
42 83 -47748
42 84 -55806
42 85 -59103
42 86 -64556.3
42 87 -67694.9
42 88 -72700.1
42 89 -75003.9
42 90 -80167.3
42 91 -82204.2
42 92 -86805
42 93 -86803.5
42 94 -88409.7
