###########################################################
#$Id: pied_chiosi_e416a.dat,v 1.1 2006/03/20 01:13:45 franklan Exp $
#Piédestaux pour ChIo/Si, manip E416a
#Extraits du run 1000
#Chaque spectre fitté avec une gaussienne
#Format du fichier:
# nom_du_parametre moyenne erreur_sur_moyenne largeur erreur_sur_moyenne chi_square NDF
###########################################################
SI_0624_GG 24.6258 0.0461846 6.67778 0.0382813 35.7808 15
SI_0624_PG 0.34607 1.08009 0.482711 0.22609 19 8
SI_0703_GG 40.1369 0.0612338 0.282489 0.117428 910 16
SI_0703_PG 0.282741 0.0395858 0.294075 0.0115574 33 11
SI_0704_GG 32.0949 0.0267217 3.51158 0.0151176 118.464 25
SI_0704_PG 0.250421 0.0323809 0.285271 0.0126741 28 9
SI_0705_GG 41.3054 20.0636 2.15647 103.427 18118.5 22
SI_0705_PG 0.286928 0.0358875 0.27824 0.012991 28 12
SI_0706_GG 35.0746 0.0305975 4.34023 0.0220418 124.927 40
SI_0706_PG 0.318925 0.0372672 0.262231 0.0152592 22 9
SI_0707_GG 27.9354 0.0495188 6.2563 0.0532768 27.7292 12
SI_0707_PG 0.458514 0.0364431 0.126652 0.109689 25 8
SI_0708_GG 36.9838 0.0740271 9.23785 0.0550154 53.2183 14
SI_0708_PG 0.502929 0.733445 0.22403 0.16474 31 13
SI_0709_GG 39.8777 77.1507 2.05611 88.2184 9212.23 22
SI_0709_PG 50.736 0.00414188 0.545638 0.00256827 187.852 21
SI_0710_GG 44.1331 0.231875 5.43686 0.100604 128 13
SI_0710_PG 49.4642 0.0039668 0.540486 0.00235345 143.939 22
SI_0711_GG 24.5632 0.885906 39.1708 0.535387 1225.82 35
SI_0711_PG 48.7534 0.0154656 2.00929 0.0121041 841.954 19
SI_0712_GG 31.4151 4.13087 2.27285 148.289 675 12
SI_0712_PG 49.5 4.8213e-06 0.000117322 1.55768e-05 6331.02 20
SI_0713_GG 38.6439 0.0734786 8.63902 0.0718032 38.1836 15
SI_0713_PG 49.2679 0.00423724 0.596368 0.00312206 149.065 21
SI_0714_GG 45.1411 0.0281715 3.95996 0.0192994 157.236 30
SI_0714_PG 50.6824 0.00423166 0.562086 0.00245163 235.631 19
SI_0715_GG 53.9991 0.0252196 0.0503268 0.84645 6076 23
SI_0715_PG 48.6542 0.00421854 0.565119 0.00243588 220.76 20
SI_0716_GG 57.5706 0.158559 7.01287 0.0485782 158 17
SI_0716_PG 48.6399 1111.84 0.581499 9.8831 561.558 16
SI_0719_GG 63.7404 0.0284166 4.00171 0.0210969 197.561 57
SI_0719_PG 48.8573 0.00407084 0.562784 0.00296049 184.563 20
SI_0720_GG 35.3094 0.0376657 4.69855 0.0196268 174.371 25
SI_0720_PG 44.7607 0.00413095 0.553502 0.00264384 220.571 23
SI_0721_GG 46.736 0.121997 16.599 0.107878 563.033 15
SI_0721_PG 48.9857 0.00790046 1.0951 0.00756426 854.592 24
SI_0722_GG 47.9811 0.108395 7.75955 0.201628 142.133 11
SI_0722_PG 50.1082 0.00755382 0.666333 0.0214899 140.978 12
SI_0723_GG 52.9493 0.0358104 5.10013 0.0652533 166.241 22
SI_0723_PG 50.2268 0.00390808 0.550629 0.00287222 159.129 22
SI_0724_GG 51.3533 0.138953 6.06398 0.0717463 154.994 17
SI_0724_PG 48.5965 0.00408801 0.553575 0.00238533 187.22 27
SI_0801_GG 57.118 0.198912 6.39284 0.105621 194.998 19
SI_0801_PG 51.4999 32.1914 0.00365688 8.80006 15693.5 27
SI_0802_GG 60.9087 0.0300316 3.8238 0.0168233 199.356 40
SI_0802_PG 49.5 1 1.1488e-05 7.56599 7164 26
SI_0803_GG 57.525 4.68846 1.06344 216.313 613 20
SI_0803_PG 50.1277 0.00895921 0.659734 0.02196 192.258 19
SI_0804_GG 59.9676 0.0853908 4.69094 0.0479611 191.968 29
