# DataSet LNS_2016
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/TEST-JUL2016
run=253 | starting date=Tue Jul 12 23:01:23 2016 | nfiles=10 | size(GB)=0.93
run=254 | starting date=Tue Jul 12 23:03:58 2016 | nfiles=10 | size(GB)=0.93
run=255 | starting date=Tue Jul 12 23:06:36 2016 | nfiles=10 | size(GB)=0.93
run=256 | starting date=Tue Jul 12 23:09:06 2016 | nfiles=10 | size(GB)=0.93
run=257 | starting date=Tue Jul 12 23:11:33 2016 | nfiles=10 | size(GB)=0.93
run=258 | starting date=Tue Jul 12 23:13:49 2016 | nfiles=10 | size(GB)=0.93
run=259 | starting date=Tue Jul 12 23:16:04 2016 | nfiles=10 | size(GB)=0.93
run=260 | starting date=Tue Jul 12 23:18:14 2016 | nfiles=10 | size(GB)=0.93
run=261 | starting date=Tue Jul 12 23:20:29 2016 | nfiles=10 | size(GB)=0.93
run=262 | starting date=Tue Jul 12 23:23:11 2016 | nfiles=10 | size(GB)=0.93
run=263 | starting date=Tue Jul 12 23:25:27 2016 | nfiles=10 | size(GB)=0.93
run=264 | starting date=Tue Jul 12 23:27:44 2016 | nfiles=10 | size(GB)=0.93
run=265 | starting date=Tue Jul 12 23:29:53 2016 | nfiles=10 | size(GB)=0.93
run=266 | starting date=Tue Jul 12 23:32:08 2016 | nfiles=10 | size(GB)=0.93
run=267 | starting date=Tue Jul 12 23:34:19 2016 | nfiles=10 | size(GB)=0.93
run=268 | starting date=Tue Jul 12 23:36:40 2016 | nfiles=10 | size(GB)=0.93
run=269 | starting date=Tue Jul 12 23:39:02 2016 | nfiles=10 | size(GB)=0.93
run=270 | starting date=Tue Jul 12 23:41:26 2016 | nfiles=3 | size(GB)=0.26
run=271 | starting date=Tue Jul 12 23:44:23 2016 | nfiles=10 | size(GB)=0.93
run=272 | starting date=Tue Jul 12 23:49:55 2016 | nfiles=10 | size(GB)=0.93
run=273 | starting date=Tue Jul 12 23:52:38 2016 | nfiles=10 | size(GB)=0.93
run=274 | starting date=Tue Jul 12 23:55:26 2016 | nfiles=10 | size(GB)=0.93
run=275 | starting date=Tue Jul 12 23:58:25 2016 | nfiles=10 | size(GB)=0.93
run=276 | starting date=Wed Jul 13 00:01:23 2016 | nfiles=10 | size(GB)=0.93
run=277 | starting date=Wed Jul 13 00:04:09 2016 | nfiles=10 | size(GB)=0.93
run=278 | starting date=Wed Jul 13 00:06:45 2016 | nfiles=10 | size(GB)=0.93
run=279 | starting date=Wed Jul 13 00:09:07 2016 | nfiles=10 | size(GB)=0.93
run=280 | starting date=Wed Jul 13 00:11:41 2016 | nfiles=10 | size(GB)=0.93
run=281 | starting date=Wed Jul 13 00:14:36 2016 | nfiles=10 | size(GB)=0.93
run=282 | starting date=Wed Jul 13 00:17:34 2016 | nfiles=10 | size(GB)=0.93
run=283 | starting date=Wed Jul 13 00:20:29 2016 | nfiles=10 | size(GB)=0.93
run=284 | starting date=Wed Jul 13 00:23:12 2016 | nfiles=10 | size(GB)=0.93
run=285 | starting date=Wed Jul 13 00:25:55 2016 | nfiles=10 | size(GB)=0.93
run=286 | starting date=Wed Jul 13 00:28:49 2016 | nfiles=10 | size(GB)=0.93
run=287 | starting date=Wed Jul 13 00:31:36 2016 | nfiles=10 | size(GB)=0.93
