# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIASYM-Dec2015/
run=317 | starting date=Fri Dec 11 01:55:59 2015 | nfiles=20 | size(GB)=0.28
run=318 | starting date=Fri Dec 11 01:56:02 2015 | nfiles=20 | size(GB)=0.28
run=319 | starting date=Fri Dec 11 01:56:05 2015 | nfiles=20 | size(GB)=0.28
run=320 | starting date=Fri Dec 11 01:56:08 2015 | nfiles=20 | size(GB)=0.28
run=321 | starting date=Fri Dec 11 01:56:11 2015 | nfiles=20 | size(GB)=0.28
run=322 | starting date=Fri Dec 11 01:56:14 2015 | nfiles=20 | size(GB)=0.28
run=323 | starting date=Fri Dec 11 01:56:17 2015 | nfiles=20 | size(GB)=0.28
run=324 | starting date=Fri Dec 11 01:56:20 2015 | nfiles=20 | size(GB)=0.28
run=325 | starting date=Fri Dec 11 01:56:23 2015 | nfiles=20 | size(GB)=0.28
run=326 | starting date=Fri Dec 11 01:56:26 2015 | nfiles=20 | size(GB)=0.28
run=327 | starting date=Fri Dec 11 01:56:29 2015 | nfiles=20 | size(GB)=0.28
run=328 | starting date=Fri Dec 11 01:56:32 2015 | nfiles=20 | size(GB)=0.28
run=329 | starting date=Fri Dec 11 01:56:35 2015 | nfiles=20 | size(GB)=0.28
run=330 | starting date=Fri Dec 11 01:56:38 2015 | nfiles=20 | size(GB)=0.28
run=331 | starting date=Fri Dec 11 01:56:41 2015 | nfiles=20 | size(GB)=0.28
run=332 | starting date=Fri Dec 11 01:56:44 2015 | nfiles=20 | size(GB)=0.28
run=333 | starting date=Fri Dec 11 01:56:47 2015 | nfiles=20 | size(GB)=0.28
run=334 | starting date=Fri Dec 11 01:56:50 2015 | nfiles=20 | size(GB)=0.28
run=335 | starting date=Fri Dec 11 01:56:53 2015 | nfiles=20 | size(GB)=0.28
run=336 | starting date=Fri Dec 11 01:56:56 2015 | nfiles=20 | size(GB)=0.28
run=337 | starting date=Fri Dec 11 01:56:59 2015 | nfiles=20 | size(GB)=0.28
run=338 | starting date=Fri Dec 11 01:57:02 2015 | nfiles=20 | size(GB)=0.28
run=339 | starting date=Fri Dec 11 01:57:05 2015 | nfiles=20 | size(GB)=0.28
run=340 | starting date=Fri Dec 11 01:57:08 2015 | nfiles=20 | size(GB)=0.28
run=341 | starting date=Fri Dec 11 01:57:11 2015 | nfiles=20 | size(GB)=0.28
run=342 | starting date=Fri Dec 11 01:57:14 2015 | nfiles=20 | size(GB)=0.28
run=343 | starting date=Fri Dec 11 01:57:17 2015 | nfiles=20 | size(GB)=0.28
run=344 | starting date=Fri Dec 11 01:57:20 2015 | nfiles=20 | size(GB)=0.28
run=345 | starting date=Fri Dec 11 01:57:23 2015 | nfiles=1 | size(GB)=0.00
run=346 | starting date=Fri Dec 11 02:14:41 2015 | nfiles=20 | size(GB)=0.28
run=347 | starting date=Fri Dec 11 02:14:57 2015 | nfiles=20 | size(GB)=0.28
run=348 | starting date=Fri Dec 11 02:15:17 2015 | nfiles=20 | size(GB)=0.28
run=349 | starting date=Fri Dec 11 02:15:21 2015 | nfiles=20 | size(GB)=0.28
run=350 | starting date=Fri Dec 11 02:15:24 2015 | nfiles=20 | size(GB)=0.28
run=351 | starting date=Fri Dec 11 02:15:27 2015 | nfiles=20 | size(GB)=0.28
run=352 | starting date=Fri Dec 11 02:15:30 2015 | nfiles=20 | size(GB)=0.28
run=353 | starting date=Fri Dec 11 02:15:33 2015 | nfiles=20 | size(GB)=0.28
run=354 | starting date=Fri Dec 11 02:15:36 2015 | nfiles=20 | size(GB)=0.28
run=355 | starting date=Fri Dec 11 02:15:39 2015 | nfiles=20 | size(GB)=0.28
run=356 | starting date=Fri Dec 11 02:15:42 2015 | nfiles=20 | size(GB)=0.28
run=357 | starting date=Fri Dec 11 02:15:45 2015 | nfiles=20 | size(GB)=0.28
run=358 | starting date=Fri Dec 11 02:15:48 2015 | nfiles=20 | size(GB)=0.28
run=359 | starting date=Fri Dec 11 02:15:51 2015 | nfiles=20 | size(GB)=0.28
run=360 | starting date=Fri Dec 11 02:15:54 2015 | nfiles=20 | size(GB)=0.28
run=361 | starting date=Fri Dec 11 02:15:57 2015 | nfiles=20 | size(GB)=0.28
run=362 | starting date=Fri Dec 11 02:16:00 2015 | nfiles=20 | size(GB)=0.28
run=363 | starting date=Fri Dec 11 02:16:03 2015 | nfiles=20 | size(GB)=0.28
run=364 | starting date=Fri Dec 11 02:16:06 2015 | nfiles=20 | size(GB)=0.28
run=365 | starting date=Fri Dec 11 02:16:09 2015 | nfiles=20 | size(GB)=0.28
run=366 | starting date=Fri Dec 11 02:16:12 2015 | nfiles=20 | size(GB)=0.28
run=367 | starting date=Fri Dec 11 02:16:15 2015 | nfiles=20 | size(GB)=0.28
run=368 | starting date=Fri Dec 11 02:16:18 2015 | nfiles=20 | size(GB)=0.28
