# DataSet FAZIAPRE
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIAPRE-FEB2018/
run=234 | starting date=Tue Feb  6 14:33:35 2018 | nfiles=10 | size(GB)=0.93
run=235 | starting date=Tue Feb  6 14:40:23 2018 | nfiles=10 | size(GB)=0.93
run=236 | starting date=Tue Feb  6 14:46:49 2018 | nfiles=10 | size(GB)=0.93
run=237 | starting date=Tue Feb  6 14:53:10 2018 | nfiles=10 | size(GB)=0.93
run=238 | starting date=Tue Feb  6 14:59:17 2018 | nfiles=10 | size(GB)=0.93
run=239 | starting date=Tue Feb  6 15:05:25 2018 | nfiles=10 | size(GB)=0.93
run=240 | starting date=Tue Feb  6 15:11:33 2018 | nfiles=8 | size(GB)=0.71
run=241 | starting date=Tue Feb  6 16:44:39 2018 | nfiles=10 | size(GB)=0.93
run=242 | starting date=Tue Feb  6 16:46:36 2018 | nfiles=10 | size(GB)=0.93
run=243 | starting date=Tue Feb  6 16:48:11 2018 | nfiles=5 | size(GB)=0.46
run=244 | starting date=Tue Feb  6 16:51:21 2018 | nfiles=9 | size(GB)=0.78
run=245 | starting date=Tue Feb  6 16:54:24 2018 | nfiles=10 | size(GB)=0.93
run=246 | starting date=Tue Feb  6 16:56:11 2018 | nfiles=10 | size(GB)=0.93
run=247 | starting date=Tue Feb  6 16:57:57 2018 | nfiles=3 | size(GB)=0.24
run=248 | starting date=Tue Feb  6 18:50:55 2018 | nfiles=10 | size(GB)=0.93
run=249 | starting date=Tue Feb  6 18:51:14 2018 | nfiles=10 | size(GB)=0.93
run=250 | starting date=Tue Feb  6 18:51:33 2018 | nfiles=10 | size(GB)=0.93
run=251 | starting date=Tue Feb  6 18:51:51 2018 | nfiles=6 | size(GB)=0.55
run=252 | starting date=Tue Feb  6 18:55:43 2018 | nfiles=10 | size(GB)=0.93
run=253 | starting date=Tue Feb  6 18:58:37 2018 | nfiles=1 | size(GB)=0.01
run=254 | starting date=Tue Feb  6 18:59:24 2018 | nfiles=10 | size(GB)=0.93
run=255 | starting date=Tue Feb  6 19:02:21 2018 | nfiles=10 | size(GB)=0.93
run=256 | starting date=Tue Feb  6 19:05:21 2018 | nfiles=10 | size(GB)=0.93
run=257 | starting date=Tue Feb  6 19:08:16 2018 | nfiles=10 | size(GB)=0.93
run=258 | starting date=Tue Feb  6 19:11:37 2018 | nfiles=10 | size(GB)=0.93
run=259 | starting date=Tue Feb  6 19:14:24 2018 | nfiles=10 | size(GB)=0.93
run=260 | starting date=Tue Feb  6 19:17:20 2018 | nfiles=10 | size(GB)=0.93
run=261 | starting date=Tue Feb  6 19:20:34 2018 | nfiles=10 | size(GB)=0.93
run=262 | starting date=Tue Feb  6 19:23:33 2018 | nfiles=10 | size(GB)=0.93
run=263 | starting date=Tue Feb  6 19:26:39 2018 | nfiles=10 | size(GB)=0.93
run=264 | starting date=Tue Feb  6 19:29:48 2018 | nfiles=10 | size(GB)=0.93
run=265 | starting date=Tue Feb  6 19:32:58 2018 | nfiles=10 | size(GB)=0.93
run=266 | starting date=Tue Feb  6 19:36:02 2018 | nfiles=10 | size(GB)=0.93
run=267 | starting date=Tue Feb  6 19:39:05 2018 | nfiles=10 | size(GB)=0.93
run=268 | starting date=Tue Feb  6 19:42:05 2018 | nfiles=10 | size(GB)=0.93
run=269 | starting date=Tue Feb  6 19:45:21 2018 | nfiles=10 | size(GB)=0.93
run=270 | starting date=Tue Feb  6 19:48:44 2018 | nfiles=10 | size(GB)=0.93
run=271 | starting date=Tue Feb  6 19:54:38 2018 | nfiles=10 | size(GB)=0.93
run=272 | starting date=Tue Feb  6 19:58:08 2018 | nfiles=10 | size(GB)=0.93
run=273 | starting date=Tue Feb  6 20:01:14 2018 | nfiles=10 | size(GB)=0.93
run=274 | starting date=Tue Feb  6 20:04:18 2018 | nfiles=10 | size(GB)=0.93
run=275 | starting date=Tue Feb  6 20:07:18 2018 | nfiles=10 | size(GB)=0.93
run=276 | starting date=Tue Feb  6 20:10:20 2018 | nfiles=10 | size(GB)=0.93
run=277 | starting date=Tue Feb  6 20:13:29 2018 | nfiles=10 | size(GB)=0.93
run=278 | starting date=Tue Feb  6 20:16:55 2018 | nfiles=10 | size(GB)=0.93
run=279 | starting date=Tue Feb  6 20:20:20 2018 | nfiles=10 | size(GB)=0.93
run=280 | starting date=Tue Feb  6 20:23:40 2018 | nfiles=10 | size(GB)=0.93
run=281 | starting date=Tue Feb  6 20:27:12 2018 | nfiles=10 | size(GB)=0.93
run=282 | starting date=Tue Feb  6 20:30:44 2018 | nfiles=10 | size(GB)=0.93
run=283 | starting date=Tue Feb  6 20:33:38 2018 | nfiles=10 | size(GB)=0.93
run=284 | starting date=Tue Feb  6 20:36:43 2018 | nfiles=10 | size(GB)=0.93
run=285 | starting date=Tue Feb  6 20:40:00 2018 | nfiles=10 | size(GB)=0.93
run=286 | starting date=Tue Feb  6 20:43:13 2018 | nfiles=10 | size(GB)=0.93
run=287 | starting date=Tue Feb  6 20:46:30 2018 | nfiles=10 | size(GB)=0.93
run=288 | starting date=Tue Feb  6 20:49:52 2018 | nfiles=10 | size(GB)=0.93
run=289 | starting date=Tue Feb  6 20:53:07 2018 | nfiles=10 | size(GB)=0.93
run=290 | starting date=Tue Feb  6 20:56:23 2018 | nfiles=10 | size(GB)=0.93
run=291 | starting date=Tue Feb  6 20:59:34 2018 | nfiles=10 | size(GB)=0.93
run=292 | starting date=Tue Feb  6 21:02:45 2018 | nfiles=10 | size(GB)=0.93
run=293 | starting date=Tue Feb  6 21:05:58 2018 | nfiles=10 | size(GB)=0.93
run=294 | starting date=Tue Feb  6 21:09:18 2018 | nfiles=10 | size(GB)=0.93
run=295 | starting date=Tue Feb  6 21:12:36 2018 | nfiles=10 | size(GB)=0.93
