// PACE2_2009.DATA
//Mass Excess in MeV
//This is the same as pace2_2001.data except the format is much simpler to read :)
//------
//Each line is:
//z a massexcess
//------
//
65 159 -69.5449
65 160 -67.8488
65 161 -67.4744
65 162 -65.6604
65 163 -64.6919
65 164 -62.1161
66 146 -63.0223
66 147 -64.4693
66 148 -67.7968
66 149 -67.8362
66 150 -69.3277
66 151 -68.8664
66 152 -70.1257
66 153 -69.145
66 154 -70.4033
66 155 -69.1671
66 156 -70.537
66 157 -69.435
66 158 -70.4193
66 159 -69.1793
66 160 -69.6829
66 161 -68.0655
66 162 -68.1904
66 163 -66.3919
66 164 -65.9761
66 165 -63.6214
66 166 -62.5947
66 167 -59.9778
67 148 -58.3468
67 149 -61.5362
67 150 -62.0174
67 151 -63.6959
67 152 -63.7109
67 153 -64.9561
67 154 -64.8721
67 155 -66.0651
67 156 -65.7908
67 157 -66.895
67 158 -66.4423
67 159 -67.3433
67 160 -66.3969
67 161 -67.2123
67 162 -66.056
67 163 -66.388
67 164 -64.9473
67 165 -64.9074
67 166 -63.0787
67 167 -62.3278
67 168 -60.2777
67 169 -58.8062
67 170 -56.2477
68 150 -57.9874
68 151 -58.2664
68 152 -60.4378
68 153 -60.6105
68 154 -62.6256
68 155 -62.323
68 156 -64.1008
68 157 -63.425
68 158 -65.1423
68 159 -64.5743
68 160 -66.0623
68 161 -65.2075
68 162 -66.3454
68 163 -65.1773
68 164 -65.9512
68 165 -64.53
68 166 -64.933
68 167 -63.2978
68 168 -62.9977
68 169 -60.9295
68 170 -60.1177
68 171 -57.7278
68 172 -56.4923
68 173 -53.7674
69 151 -50.5664
69 152 -51.5109
69 153 -53.8638
69 154 -54.4158
69 155 -56.691
69 156 -56.9445
69 157 -58.795
69 158 -58.7423
69 159 -60.3743
69 160 -60.1423
69 161 -61.8075
69 162 -61.5554
69 163 -62.7383
69 164 -61.9892
69 165 -62.9376
69 166 -61.8862
69 167 -62.5488
69 168 -61.318
69 169 -61.2815
69 170 -59.8031
69 171 -59.2178
69 172 -57.3836
69 173 -56.2674
69 174 -53.8622
69 175 -52.3035
69 176 -49.6027
70 152 -46.0378
70 153 -47.0105
70 154 -50.0881
70 155 -50.4973
70 156 -53.2014
70 157 -53.5636
70 158 -56.0258
70 159 -55.9981
70 160 -58.0623
70 161 -57.7075
70 162 -59.7454
70 163 -59.3683
70 164 -60.8892
70 165 -60.1746
70 166 -61.5947
70 167 -60.5948
70 168 -61.5775
70 169 -60.3734
70 170 -60.7711
70 171 -59.3143
70 172 -59.2628
70 173 -57.5588
70 174 -56.9522
70 175 -54.7035
70 176 -53.5027
70 177 -50.9981
70 178 -49.7058
71 153 -37.8638
71 154 -39.4158
71 155 -42.3354
71 156 -43.4923
71 157 -46.312
71 158 -47.1909
71 159 -49.7318
71 160 -50.2423
71 161 -52.5075
71 162 -52.6554
71 163 -54.7383
71 164 -54.5892
71 165 -56.3746
71 166 -56.1147
71 167 -57.4648
71 168 -57.1075
71 169 -58.0804
71 170 -57.3311
71 171 -57.8335
71 172 -56.7389
