||INDRA@GANIL|||01/04/2001||E372|||||||18/02/2003 11:50:42|||
|||||||||||||||||
|DLT 1 & 1bis|||Piedestaux/Automate||||||||||18/02/2003 11:50:42|||
Tape|Run|Events|Faraday1|Buffers|Gene direct|Gene mrq|G TM|TM %|Trigger|Cible|Evt/Far|T(min)|Date|Remarque etc.|cahier-page||
4|6169|243078|1735|12113|86688|3169|17943|21.483734240113|M>=4|112Sn|140.102593659942|8|||||
4|6170|241909|1756|12112|80619|6327|17529|23.5947342917138|M>=4|112Sn|137.76138952164|7|||||
4|6171|242667|1773|12109|82923|3162|17853|22.3831195697145|M>=4|112Sn|136.868020304569|8|||||
4|6172|188861|1355|9439|73036|6334|13926|20.8779346946119|M>=4|112Sn|139.380811808118|6||Dijonction HF|||
4|6173|160722|1165|8008|55146|3145|11770|22.6341801119209|M>=4|112Sn|137.958798283262|5||Dijonction HF|||
4|6174|240952|1754|12117|80982|6279|17190|23.0111240512429|M>=4|112Sn|137.372862029647|7|||||
4|6175|242907|1791|12111|74216|3136|17548|24.687675858188|M>=4|112Sn|135.626465661642|7|||||
4|6176|242251|1820|12108|73465|4965|17656|25.7751824817518|M>=4|112Sn|133.104945054945|7|||||
4|6177|242534|1819|12111|71792|4101|17419|25.7331107532759|M>=4|112Sn|133.333699835074|6|||||
4|6178|219598|1610|10943|73449|3174|16335|23.2443970117396|M>=4|112Sn|136.396273291925|6||Arret machine (intervention HF)|||
4|6179|241079|1735|12113|84450|6323|17427|22.3059889666825|M>=4|112Sn|138.950432276657|8|||||
4|6180|0|0|293|0|0|0|0|M>=4|112Sn|0|0|06/04/2001 14:33:00|Run vide interrompu pour arret machine|||
4|6181|239741|1723|12113|87249|6322|17078|21.102969342741|M>=4|112Sn|139.141613464887|8|||||
4|6182|241251|1743|12113|84027|3172|17510|21.656050955414|M>=4|112Sn|138.411359724613|8|||||
4|6183|240019|1733|12112|86307|6345|17689|22.1217578349716|M>=4|112Sn|138.499134448932|7|||||
4|6184|241710|1749|12114|83067|3169|17519|21.9267065508523|M>=4|112Sn|138.19897084048|8|||||
4|6185|239888|1744|12113|85360|6340|17706|22.4069855732726|M>=4|112Sn|137.550458715596|7|||||
4|6186|241536|1750|12113|83008|3167|17552|21.9836925890207|M>=4|112Sn|138.020571428571|8|||||
4|6187|240919|1724|12110|87302|6334|17596|21.7320422883114|M>=4|112Sn|139.744199535963|8|||||
4|6188|242016|1744|12117|82597|3171|17467|21.9915392944376|M>=4|112Sn|138.770642201835|7|||||
4|6189|240959|1735|12116|85646|6328|17594|22.1815981240072|M>=4|112Sn|138.881268011527|8|||||
4|6190|242721|1747|12113|82688|3171|17531|22.046857904599|M>=4|112Sn|138.93589009731|7|||||
4|6191|241114|1731|12111|86419|6327|17521|21.8760924936323|M>=4|112Sn|139.291738879261|8|||||
4|6192|209209|1501|10493|73517|3153|15362|21.8321869137627|M>=4|112Sn|139.379746835443|7|||||
|||||||||||||||||
|DLT 5 & 5 Bis|||124Xe + 112 Sn 32 MeV/A||||||||||18/02/2003 11:54:56|||
Tape|Run|Events|Faraday1|Buffers|Gene direct|Gene mrq|G TM|TM %|Trigger|Cible|Evt/Far|T(min)|Date|Remarque etc.|cahier-page||
5|6193|242347|1853|12114|99554|6329|27415|29.4073478144275|M>=4|112Sn|130.786292498651|8|||||
5|6194|240717|1695|12115|91190|6300|17468|20.5772175756862|M>=4|112Sn|142.01592920354|8|||||
5|6195|242846|1717|12116|90951|3170|18018|20.5260819539536|M>=4|112Sn|141.436225975539|8|||||
5|6196|240239|1701|12111|91752|6320|17832|20.8727408933421|M>=4|112Sn|141.233980011758|9|||||
5|6197|239897|1714|12112|93701|6329|18034|20.640479787575|M>=4|112Sn|139.963243873979|8|||||
5|6198|239897|1729|12113|89464|3164|18090|20.9617612977984|M>=4|112Sn|138.748987854251|7|||||
5|6199|239948|1696|12111|96310|6323|17325|19.2527809572494|M>=4|112Sn|141.478773584906|9|||||
5|6200|239524|1711|12111|93130|6322|17640|20.3207077688692|M>=4|112Sn|139.990648743425|8|||||
5|6201|242475|1694|12117|95706|3160|17712|19.1385905387591|M>=4|112Sn|143.137544273908|9|||||
5|6202|240767|1706|12111|92756|6333|17483|20.22956851764|M>=4|112Sn|141.129542790152|8|||||
5|6203|241818|1667|12110|102059|6326|17415|18.1912193287581|M>=4|112Sn|145.061787642472|9|||||
5|6204|242740|1643|12111|107539|6321|17451|17.2410045644055|M>=4|112Sn|147.741935483871|10|||||
5|6205|178783|1231|8913|75450|3164|13161|18.2068450322331|M>=4|112Sn|145.233956133225|7|||||
|DLT 6 & 6 Bis|||124Xe + 112 Sn 32 MeV/A||||||||||18/02/2003 11:54:56|||
Tape|Run|Events|Faraday1|Buffers|Gene direct|Gene mrq|G TM|TM %|Trigger|Cible|Evt/Far|T(min)|Date|Remarque etc.|cahier-page||
6|6214|||12112||||||||||run trouve en relisant la dlt (23 mai 01)|||
6|6215|241825|1861|12111|68683|3152|17903|27.3198944011231|M>=4|112Sn|129.943578721118|17|||||
6|6216|242505|1817|12110|77642|6315|18424|25.8303307302985|M>=4|112Sn|133.464501926252|8|||||
6|6217|242092|1743|12074|82192|3173|17733|22.4414381351321|M>=4|112Sn|138.893861158921|7|||||
6|6218|243763|1776|12079|79430|3177|18141|23.7905393886142|M>=4|112Sn|137.253941441441|7|||||
6|6219|242033|1774|12062|81452|6317|18205|24.2297198376256|M>=4|112Sn|136.433483652762|7|||||
6|6220|243340|1770|12114|77829|3170|17609|23.5859039097765|M>=4|112Sn|137.480225988701|7|||||
6|6221|243257|1772|12114|77176|3166|17905|24.1926766653155|M>=4|112Sn|137.278216704289|7|||||
6|6222|241608|1754|12111|81114|6325|17670|23.6264691331613|M>=4|112Sn|137.746864310148|7|||||
6|6223|242956|1750|12110|80913|3168|17692|22.7564473599588|M>=4|112Sn|138.832|12|||||
6|6224|240742|1724|12109|86581|6319|17896|22.2969773990182|M>=4|112Sn|139.641531322506|8|||||
