########################################################
#Z	A	Q	Brho0	Run1	Run2	Brhomin	Brhomax
########################################################
8	17	8	1.091	521	522	1.11600	1.20000
8	17	8	1.004	520	520	1.08000	1.11600
8	17	8	0.923	518	519	0.984000	1.08000
8	17	8	0.849	517	517	0.792000	0.996000
8	18	7	1.800	543	547	1.69200	1.78800
8	18	7	1.523	531	536	1.48800	1.51200
8	18	7	1.186	523	524	1.20000	1.24800
8	18	7	1.091	521	522	1.17600	1.20000
8	18	7	0.849	517	517	0.948000	0.960000
8	18	8	1.800	543	547	1.71600	2.00400
8	18	8	1.656	537	542	1.56000	1.71600
8	18	8	1.523	531	536	1.42800	1.56000
8	18	8	1.401	528	530	1.36800	1.42800
8	18	8	1.289	525	527	1.30800	1.36800
8	18	8	1.186	523	524	1.21200	1.30800
8	18	8	1.091	521	522	1.11600	1.21200
8	18	8	1.004	520	520	1.08000	1.11600
8	18	8	0.923	518	519	0.972000	1.08000
8	18	8	0.849	517	517	0.840000	0.984000
8	19	7	1.800	543	547	1.92000	1.98000
8	19	8	1.800	543	547	1.75200	1.98000
8	19	8	1.656	537	542	1.64400	1.75200
8	19	8	1.523	531	536	1.45200	1.64400
8	19	8	1.401	528	530	1.44000	1.45200
8	19	8	1.186	523	524	1.22400	1.23600
8	19	8	1.091	521	522	1.09200	1.22400
8	19	8	0.849	517	517	0.876000	0.936000
8	20	8	1.800	543	547	1.68000	1.99200
8	20	8	1.656	537	542	1.64400	1.68000
8	20	8	1.523	531	536	1.50000	1.64400
8	20	8	1.186	523	524	1.21200	1.20000
8	20	8	1.091	521	522	1.15200	1.21200
8	21	8	1.800	543	547	1.75200	1.78800
9	14	7	1.800	543	547	1.76400	1.84800
9	14	7	1.656	537	542	1.56000	1.76400
9	14	7	1.523	531	536	1.44000	1.56000
9	14	7	1.401	528	530	1.39200	1.44000
9	14	7	1.289	525	527	1.26000	1.39200
9	14	7	1.186	523	524	1.24800	1.26000
9	14	7	1.091	521	522	1.10400	1.24800
9	14	7	1.004	520	520	1.06800	1.10400
9	14	7	0.923	518	519	0.912000	1.06800
9	14	7	0.849	517	517	0.741000	0.924000
9	14	7	0.782	515	516	0.741000	0.753000
9	14	8	1.186	523	524	1.17600	1.18800
9	14	8	1.091	521	522	1.08000	1.17600
9	14	8	0.923	518	519	0.864000	1.06800
9	14	9	1.656	537	542	1.60800	1.62000
9	15	7	1.800	543	547	1.75200	1.93200
9	15	7	1.656	537	542	1.58400	1.75200
9	15	7	1.523	531	536	1.50000	1.58400
9	15	7	1.401	528	530	1.41600	1.50000
9	15	7	1.289	525	527	1.32000	1.41600
9	15	7	1.186	523	524	1.29600	1.32000
9	15	7	1.091	521	522	1.11600	1.29600
9	15	7	1.004	520	520	1.03200	1.11600
9	15	7	0.923	518	519	0.840000	1.03200
9	15	7	0.849	517	517	0.840000	0.852000
9	15	8	1.800	543	547	1.80000	1.76400
9	15	8	1.656	537	542	1.56000	1.80000
9	15	8	1.523	531	536	1.44000	1.56000
9	15	8	1.401	528	530	1.33200	1.44000
9	15	8	1.289	525	527	1.26000	1.33200
9	15	8	1.186	523	524	1.18800	1.26000
9	15	8	1.091	521	522	1.02000	1.18800
9	15	8	1.004	520	520	1.08000	1.02000
9	15	8	0.923	518	519	0.876000	1.08000
9	15	8	0.782	515	516	0.744000	0.756000
9	15	8	0.719	511	513	0.720000	0.756000
9	15	8	0.661	514	514	0.720000	0.732000
9	15	9	1.289	525	527	1.29600	1.30800
9	15	9	0.923	518	519	0.984000	0.996000
